num_timesteps,average_reward_per_episode,loss,value_loss,policy_gradient_loss,entropy_loss,std,clip_fraction,explained_variance,learning_rate,average_velocity_per_step,dense,done,end_effector_imitation_reward,foot_force_penalty,footstep_delta_time,forward_reward,joint_constraint_force_penalty,muscle_activation_diff_penalty,muscle_activation_penalty,muscle_activation_penalty_per_step,qpos_imitation_rewards,qvel_imitation_rewards,solved,sparse
147456.0,0.4764543033501094,-0.0549161359667778,0.02929417279859384,-0.023951232658631246,-33.932758522033694,0.9946604371070862,0.15103352864583333,0.10906511545181274,0.0001,-0.0011664818335862263,218.5578142468756,0.0,16.95087243726834,-16.24670921666434,0.004282790527129088,9.451486636647063,-2.7033125182144397,9.973577815105687,-8.157687415702005,-0.03680290590875831,55.9430467294026,1.573523452164733,0.0,0.0
278528.0,0.5208272468577869,-0.04970435053110123,0.040939387306571005,-0.023648353652485337,-33.48100439707438,0.9755175113677979,0.13459676106770832,0.23293137550354004,0.0001,-0.0024654971075277273,223.95155975360737,0.0,16.87004480350822,-10.142168238473031,0.009436679297442838,10.494994124684144,-2.6265194702743178,10.052761499379628,-8.240101169416565,-0.08100452406058573,56.21783473771317,1.7233477083563633,0.0,0.0
409600.0,0.5703414010702534,-0.037064023315906525,0.052124754649897416,-0.019734130411719283,-32.71621608734131,0.9447352290153503,0.10930989583333334,0.2976621389389038,0.0001,-0.0040078019835753246,229.6392274825458,0.0,16.909485089654037,-5.784559885010275,0.018047218759655224,11.23605899438399,-2.6140981331489774,10.274684532719986,-8.354412766496822,-0.1556661419851566,56.879190380408154,1.8886769036017084,0.0,0.0
540672.0,0.6092738704187337,-0.02680540457367897,0.06547320584456126,-0.01730047236002671,-32.0143972714742,0.918695867061615,0.10250651041666667,0.3279295563697815,0.0001,-0.005928798544517717,233.37563449550152,0.0,16.967514724634363,-4.136480436812355,0.029591994386760304,11.597602729289575,-2.568266631339931,10.510712324905708,-8.477447500573028,-0.25591957695431583,57.48806929324211,2.0077418898803137,0.0,0.0
671744.0,0.6410937031451028,-0.018977724015712738,0.0766281063357989,-0.01640843738956998,-31.32000036239624,0.8935443758964539,0.09715983072916666,0.38685858249664307,0.0001,-0.007364401512642484,235.28444471067365,0.0,16.954529712379312,-3.1575403975502536,0.03948619851426375,11.770044851664412,-2.5490613226605565,10.644783115695349,-8.54345524705362,-0.34508646644237373,57.78393616775452,2.074747539338194,0.0,0.0
802816.0,0.668788684297452,-0.009539131075143814,0.08853455061713854,-0.01496534795151092,-30.593318208058676,0.8677654266357422,0.08243408203125,0.3831331729888916,0.0001,-0.008218425806268675,237.1371464046226,0.0,16.97496570794866,-2.4764117661210876,0.044764722477588545,11.908454525157667,-2.511477797644883,10.776980861158547,-8.611030961283772,-0.3921470160018845,58.11007979121089,2.132469384460193,0.0,0.0
933888.0,0.6938492977389472,-0.00879068672657013,0.09399981622894606,-0.0160807925548094,-29.84992650349935,0.8422563076019287,0.090380859375,0.42660725116729736,0.0001,-0.008872191291288984,239.5416724847246,0.0,17.02882735482532,-2.104709992428689,0.052735733262120305,12.016661272593314,-2.5124686723706007,10.919565652418013,-8.669771207047075,-0.4642859607417768,58.63300294329577,2.1961439573255666,0.0,0.0
1064960.0,0.7131119987100273,-0.001483481377363205,0.10693051330745221,-0.015144098173671712,-29.169948291778564,0.8201202750205994,0.083111572265625,0.4349443316459656,0.0001,-0.009171434348595783,239.50851221526074,0.0,16.97503024838374,-1.8953433216780724,0.055556480346899466,12.018392981837565,-2.5286524259225733,10.961396827720408,-8.706141276566687,-0.4951888054028168,58.598395154647584,2.2071766619438398,0.0,0.0
1196032.0,0.7355262685628892,0.0009940601885318756,0.10800996199250221,-0.014777439795822526,-28.435976537068687,0.7970271706581116,0.0815673828125,0.4560001492500305,0.0001,-0.009989159591124706,240.7103427360693,0.0,16.992194851704763,-1.6457991930884275,0.06050667774677985,12.083592864906711,-2.507551747104818,11.056966599585238,-8.760757759277265,-0.5428160047434857,58.84740455095561,2.2227025820538993,0.0,0.0
1327104.0,0.7550503708438584,0.003966677933931351,0.11213623769581318,-0.01524153546585391,-27.673518880208334,0.7733299136161804,0.08366902669270833,0.46427732706069946,0.0001,-0.010368400081055476,242.02740910652167,0.0,17.017644939417316,-1.484967879647573,0.0641163293754411,12.158097507600207,-2.507772284781508,11.14259227199455,-8.780535414627835,-0.5708646110483964,59.135855332237554,2.2535263420635574,0.0,0.0
