joint_data_pelvis_tx,joint_data_pelvis_ty,joint_data_pelvis_tilt,joint_data_hip_flexion_r,joint_data_knee_r_translation1,joint_data_knee_r_translation2,joint_data_knee_angle_r,joint_data_ankle_angle_r,joint_data_mtp_angle_r,joint_data_hamstrings_r_semimem_r-P2_x,joint_data_hamstrings_r_semimem_r-P2_y,joint_data_rect_fem_r_rect_fem_r-P3_x,joint_data_rect_fem_r_rect_fem_r-P3_y,joint_data_vasti_r_vas_int_r-P4_x,joint_data_vasti_r_vas_int_r-P4_y,joint_data_gastroc_r_med_gas_r-P2_x,joint_data_gastroc_r_med_gas_r-P2_y,joint_data_gastroc_r_med_gas_r-P2_z,joint_data_hip_flexion_l,joint_data_knee_l_translation1,joint_data_knee_l_translation2,joint_data_knee_angle_l,joint_data_ankle_angle_l,joint_data_mtp_angle_l,joint_data_hamstrings_l_semimem_l-P2_x,joint_data_hamstrings_l_semimem_l-P2_y,joint_data_rect_fem_l_rect_fem_l-P3_x,joint_data_rect_fem_l_rect_fem_l-P3_y,joint_data_vasti_l_vas_int_l-P4_x,joint_data_vasti_l_vas_int_l-P4_y,joint_data_gastroc_l_med_gas_l-P2_x,joint_data_gastroc_l_med_gas_l-P2_y,joint_data_gastroc_l_med_gas_l-P2_z,joint_data_r_shoulder_abd,joint_data_r_shoulder_rot,joint_data_r_shoulder_flex,joint_data_r_elbow_flex,joint_data_r_wrist_rot,joint_data_r_wrist_flex,joint_data_r_wrist_dev,joint_data_l_shoulder_abd,joint_data_l_shoulder_rot,joint_data_l_shoulder_flex,joint_data_l_elbow_flex,joint_data_l_wrist_rot,joint_data_l_wrist_flex,joint_data_l_wrist_dev,joint_data_iliopsoas_r_psoas_r-P3_x,joint_data_iliopsoas_r_psoas_r-P3_y,joint_data_iliopsoas_r_psoas_r-P3_z,joint_data_iliopsoas_l_psoas_l-P3_x,joint_data_iliopsoas_l_psoas_l-P3_y,joint_data_iliopsoas_l_psoas_l-P3_z,sensor_data_r_foot,sensor_data_r_toes,sensor_data_l_foot,sensor_data_l_toes,sensor_data_r_knee_sensor,sensor_data_l_knee_sensor,sensor_data_r_hip_sensor,sensor_data_l_hip_sensor,sensor_data_r_ankle_sensor,sensor_data_l_ankle_sensor,sensor_data_r_mtp_sensor,sensor_data_l_mtp_sensor,time
[19.2384],[0.9202],[0.1666],[-0.3266],[-0.0025],[-0.3951],[-0.1762],[0.2961],[0.5659],[-0.0314],[-0.037],[0.0435],[0.0494],[0.0469],[0.0333],[-0.0251],[-0.4008],[-0.0244],[-0.3667],[-0.004],[-0.3923],[0.023],[0.0731],[0.3005],[-0.0277],[-0.0353],[0.0543],[0.0385],[0.0533],[0.04],[-0.0203],[-0.3997],[0.0233],[0.1182],[0.0001],[7.4262e-05],[0.0006],[3.7811e-05],[-0.0002],[0.0001],[0.1047],[0.0003],[-0.0001],[0.0006],[8.9267e-05],[-7.8809e-05],[0.0001],[-0.0375],[-0.0738],[0.0794],[-0.0326],[-0.0788],[-0.081],[0.],[0.],[0.],[0.],[0.],[111.3027],[0.],[168.5985],[0.],[0.],[0.6205],[0.],43.19066147859922
[19.2536],[0.9398],[0.162],[-0.3464],[-0.0034],[-0.3944],[-0.0515],[0.3347],[0.6082],[-0.0296],[-0.0354],[0.0501],[0.0448],[0.0517],[0.0345],[-0.0246],[-0.4],[-0.0244],[-0.3656],[-0.004],[-0.3923],[0.0201],[-0.0696],[0.2775],[-0.0276],[-0.0355],[0.0542],[0.0385],[0.0534],[0.0392],[-0.0205],[-0.3995],[0.0234],[0.1182],[0.0001],[6.6336e-05],[0.0006],[3.7813e-05],[-0.0002],[0.0001],[0.1047],[0.0003],[-9.7862e-05],[0.0006],[8.9234e-05],[-7.8924e-05],[0.0001],[-0.038],[-0.0733],[0.0793],[-0.0322],[-0.0792],[-0.0811],[0.],[0.],[0.],[0.],[0.],[33.7999],[0.],[261.5189],[0.],[0.],[0.8562],[0.],43.22401334074486
[19.2703],[0.964],[0.1649],[-0.3614],[-0.0039],[-0.3941],[0.0249],[0.3625],[0.6133],[-0.029],[-0.035],[0.0545],[0.0395],[0.0551],[0.0349],[-0.0242],[-0.3995],[-0.0244],[-0.3644],[-0.0039],[-0.3926],[0.0126],[-0.2488],[0.36],[-0.0278],[-0.0356],[0.0539],[0.0387],[0.0532],[0.0387],[-0.0214],[-0.3995],[0.0236],[0.1182],[0.0001],[6.8089e-05],[0.0006],[3.7846e-05],[-0.0002],[0.0001],[0.1047],[0.0003],[-9.9664e-05],[0.0006],[8.9323e-05],[-7.8987e-05],[0.0001],[-0.0382],[-0.073],[0.0793],[-0.0322],[-0.0792],[-0.0811],[0.],[0.],[0.],[0.],[28.9123],[20.7505],[54.1682],[214.7894],[2.7616],[0.],[0.886],[0.],43.2573652028905
[19.2882],[0.9835],[0.1743],[-0.3573],[-0.0039],[-0.3943],[0.0151],[0.1341],[0.6252],[-0.0296],[-0.0354],[0.054],[0.0403],[0.0546],[0.0349],[-0.0247],[-0.3993],[-0.0246],[-0.3631],[-0.0037],[-0.3932],[-0.0141],[-0.3844],[0.4847],[-0.0284],[-0.0358],[0.0528],[0.0399],[0.0524],[0.0381],[-0.0226],[-0.3996],[0.0239],[0.1182],[0.0001],[6.5632e-05],[0.0006],[3.7832e-05],[-0.0002],[0.0001],[0.1047],[0.0003],[-9.7215e-05],[0.0006],[8.9278e-05],[-7.8992e-05],[0.0001],[-0.0379],[-0.073],[0.0793],[-0.0324],[-0.0791],[-0.0811],[0.],[0.],[0.],[0.],[18.7569],[0.],[97.3166],[183.2517],[0.],[0.],[1.018],[0.],43.290717065036134
[19.3065],[0.992],[0.1852],[-0.356],[-0.0038],[-0.3944],[0.008],[-0.0496],[0.6448],[-0.0302],[-0.0355],[0.0536],[0.0409],[0.0547],[0.0335],[-0.0252],[-0.3992],[-0.0247],[-0.3622],[-0.0034],[-0.3939],[-0.0579],[-0.3249],[0.566],[-0.0293],[-0.0361],[0.0505],[0.0427],[0.0508],[0.038],[-0.0234],[-0.4],[0.024],[0.1182],[0.0001],[6.6407e-05],[0.0006],[3.7836e-05],[-0.0002],[0.0001],[0.1047],[0.0003],[-9.7985e-05],[0.0006],[8.9292e-05],[-7.8989e-05],[0.0001],[-0.0379],[-0.0731],[0.0793],[-0.0338],[-0.0779],[-0.0807],[0.],[0.],[0.],[0.],[21.8283],[0.],[81.9415],[179.7529],[0.],[0.],[1.6446],[0.7157],43.32406892718177
[19.3241],[0.9891],[0.1926],[-0.3553],[-0.0038],[-0.3944],[0.0064],[-0.2166],[0.6746],[-0.0305],[-0.0355],[0.0535],[0.041],[0.055],[0.0319],[-0.0246],[-0.3995],[-0.0245],[-0.3621],[-0.0034],[-0.3942],[-0.0688],[-0.0198],[0.5722],[-0.0302],[-0.0362],[0.0496],[0.0443],[0.0501],[0.0392],[-0.0236],[-0.4003],[0.024],[0.1182],[0.0001],[6.8463e-05],[0.0006],[3.7849e-05],[-0.0002],[0.0001],[0.1047],[0.0003],[-0.0001],[0.0006],[8.9332e-05],[-7.8987e-05],[0.0001],[-0.0372],[-0.0738],[0.0795],[-0.0347],[-0.0771],[-0.0805],[0.],[0.],[0.],[0.],[23.4346],[0.],[91.7868],[181.7615],[0.],[0.],[1.6766],[0.6488],43.357420789327406
[19.3401],[0.9748],[0.1936],[-0.354],[-0.0038],[-0.3944],[0.0009],[-0.3157],[0.6824],[-0.0306],[-0.0355],[0.0533],[0.041],[0.0547],[0.0322],[-0.0243],[-0.3996],[-0.0244],[-0.361],[-0.0038],[-0.3941],[0.0023],[0.2732],[0.5808],[-0.031],[-0.0355],[0.053],[0.0419],[0.0528],[0.0408],[-0.023],[-0.3999],[0.0239],[0.1182],[0.0001],[7.233e-05],[0.0006],[3.7876e-05],[-0.0002],[0.0001],[0.1047],[0.0003],[-0.0001],[0.0006],[8.9413e-05],[-7.899e-05],[0.0001],[-0.0364],[-0.0747],[0.0798],[-0.0345],[-0.0771],[-0.0805],[0.],[0.],[0.],[0.],[0.],[81.2158],[95.4536],[0.],[0.],[0.],[0.6528],[0.2857],43.39077265147304
[19.3557],[0.9528],[0.1924],[-0.3544],[-0.0033],[-0.3946],[-0.0796],[-0.0918],[0.6369],[-0.0308],[-0.0362],[0.0494],[0.0445],[0.051],[0.0338],[-0.0245],[-0.4002],[-0.0244],[-0.347],[-0.0039],[-0.3942],[0.0292],[0.1968],[0.5977],[-0.031],[-0.0352],[0.0546],[0.0395],[0.0535],[0.0416],[-0.023],[-0.3996],[0.024],[0.1182],[0.0001],[6.9621e-05],[0.0006],[3.7872e-05],[-0.0002],[0.0001],[0.1047],[0.0003],[-0.0001],[0.0006],[8.9392e-05],[-7.9018e-05],[0.0001],[-0.037],[-0.0743],[0.0796],[-0.0337],[-0.0777],[-0.0807],[0.],[91.4986],[0.],[0.],[0.],[73.6681],[73.6878],[0.],[0.],[0.],[0.],[0.5156],43.42412451361868
[19.3728],[0.9265],[0.195],[-0.3536],[-0.0027],[-0.3949],[-0.1742],[0.1578],[0.514],[-0.0311],[-0.0371],[0.0441],[0.0487],[0.0466],[0.0358],[-0.0252],[-0.4008],[-0.0245],[-0.3575],[-0.0039],[-0.3938],[0.006],[-0.0221],[0.5097],[-0.0271],[-0.0352],[0.0542],[0.039],[0.0525],[0.0423],[-0.0223],[-0.4],[0.0238],[0.1182],[0.0001],[7.0323e-05],[0.0006],[3.7918e-05],[-0.0002],[0.0001],[0.1047],[0.0003],[-0.0001],[0.0006],[8.9498e-05],[-7.9099e-05],[0.0001],[-0.0371],[-0.0742],[0.0796],[-0.0329],[-0.0785],[-0.0809],[0.],[120.8965],[0.],[49.0514],[0.],[0.],[0.],[324.1898],[0.],[0.],[0.],[0.],43.457476375764315
[19.3857],[0.9186],[0.1788],[-0.341],[-0.0024],[-0.3952],[-0.1905],[0.2504],[0.5332],[-0.0312],[-0.0371],[0.0426],[0.05],[0.0456],[0.0362],[-0.0257],[-0.4007],[-0.0246],[-0.3651],[-0.004],[-0.3926],[0.0083],[0.0828],[0.3638],[-0.0279],[-0.0354],[0.0537],[0.0395],[0.0526],[0.0413],[-0.0201],[-0.4002],[0.0232],[0.1182],[0.0001],[7.9088e-05],[0.0006],[3.8069e-05],[-0.0002],[0.0001],[0.1047],[0.0003],[-0.0001],[0.0006],[8.9893e-05],[-7.9311e-05],[0.0001],[-0.0369],[-0.0743],[0.0796],[-0.0323],[-0.079],[-0.0811],[0.],[0.],[0.],[31.5256],[0.],[125.3165],[0.],[193.4275],[0.],[0.],[0.1921],[0.],43.49082823790995
