num_timesteps,average_reward_per_episode,loss,value_loss,policy_gradient_loss,entropy_loss,std,clip_fraction,explained_variance,learning_rate,average_velocity_per_step,dense,done,end_effector_imitation_reward,foot_force_penalty,footstep_delta_time,forward_reward,joint_constraint_force_penalty,muscle_activation_diff_penalty,muscle_activation_penalty,muscle_activation_penalty_per_step,qpos_imitation_rewards,qvel_imitation_rewards,solved,sparse
112000.0,4.4207517270886605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
112224.0,3.868704383949829,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-173.54984920813465,21198.022397034812,4705.333333333333,4088.8888888888814,-166.4110393972251,50.55765432098761,94.40354978800616,-669.4190589582071,3150.9305733006995,-2231.8730778636345,-386.3368144638787,5400.135794221191,326.19387974524307,0.0,0.0
224000.0,4.407465509170353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
224224.0,4.1022152491767505,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-157.8491944958686,15690.262486355183,3688.3333333333335,3065.022222222217,-136.18744061876893,48.273240740740704,76.24878006940794,-501.86774427700374,2361.952920739819,-1671.8356448663874,-368.22089390040173,3990.5102719919546,246.9782622385886,0.0,0.0
336000.0,5.272404318525086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
336224.0,12.593708692194776,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-793.4549167937847,73391.98376399327,17236.0,14325.23333333331,-649.5944026642723,234.89777777777792,327.2222483782535,-2440.2591384612556,11081.405352201895,-8303.345086654808,-2008.914149813054,18744.962833130674,1137.7677861310751,0.0,0.0
448000.0,14.896295747543768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
448224.0,14.666842054099542,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-249.54760823306282,18002.37334982432,1167.5,2215.008333333328,-21.579406702719645,73.34805555555558,47.4646499103182,-291.2522614842201,1864.423770809889,-1384.417310370667,-814.7311637955466,4565.18688654134,214.8625615531478,0.0,0.0
560000.0,15.86797846952035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
560224.0,23.409339974405995,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1106.5570415411257,70620.89423898187,4842.5,7926.76666666665,-70.23725103466187,361.04166666666634,262.30716051232287,-1130.5277703387794,6806.070168731487,-4749.428443757289,-3691.825300138002,17809.44247178156,812.5150198307789,0.0,0.0
672000.0,33.27587981891896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
672224.0,46.75593468009686,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-583.8840066785858,19708.734875335973,706.3333333333334,2343.722222222218,-7.572931667669983,174.82962962962958,56.25039737959435,-291.0699529639972,2065.449331995062,-1436.3551349303236,-1902.6643663907937,4977.331121380457,247.83851414557282,0.0,0.0
784000.0,36.14988593594695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
784224.0,13.278069403338083,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-597.855286665994,25660.961402766523,1006.0,2971.633333333325,-11.077574852845858,187.94833333333324,71.46677369370337,-355.6087862357101,2577.108408958111,-1780.1700439247577,-1916.4928562143998,6482.080604008561,304.96691582338343,0.0,0.0
896000.0,45.70926975162287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
896224.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
