t,x,y
7.070595,7.620048,0.877665
7.103947,7.664946,0.880621
7.137298,7.711326,0.891319
7.170650,7.762134,0.900176
7.204002,7.806486,0.911559
7.237354,7.843806,0.920652
7.270706,7.878544,0.922596
7.304058,7.912364,0.921895
7.337410,7.949685,0.924054
7.370762,7.988369,0.923286
7.404113,8.028678,0.919197
7.437465,8.063614,0.913642
7.470817,8.092394,0.905232
7.504169,8.121559,0.893584
7.537521,8.154596,0.883133
7.570873,8.193365,0.873261
7.604225,8.234483,0.868987
7.637576,8.277019,0.878197
7.670928,8.325380,0.893404
7.704280,8.379876,0.905823
7.737632,8.427613,0.912777
7.770984,8.460781,0.919533
7.804336,8.491684,0.924928
7.837688,8.521166,0.925407
7.871039,8.549611,0.925679
7.904391,8.581740,0.925531
7.937743,8.614436,0.923129
7.971095,8.647545,0.919122
8.004447,8.683060,0.913604
8.037799,8.720533,0.906169
8.071151,8.753682,0.897782
8.104503,8.787981,0.889213
8.137854,8.825319,0.881724
8.171206,8.868560,0.876680
8.204558,8.915757,0.884195
8.237910,8.968496,0.895965
8.271262,9.016007,0.906551
8.304614,9.051786,0.916418
8.337966,9.087053,0.919903
8.371317,9.119128,0.919969
8.404669,9.151415,0.920132
8.438021,9.187143,0.922467
8.471373,9.223759,0.922016
8.504725,9.262916,0.919900
8.538077,9.295522,0.912828
8.571429,9.323112,0.902421
8.604780,9.352697,0.893466
8.638132,9.384834,0.884390
8.671484,9.422818,0.875525
8.704836,9.463867,0.872781
8.738188,9.505555,0.881769
8.771540,9.553663,0.894180
8.804892,9.608388,0.904133
8.838243,9.654004,0.909762
8.871595,9.687410,0.915938
8.904947,9.720833,0.923397
8.938299,9.752437,0.924906
8.971651,9.781667,0.925086
9.005003,9.813245,0.924856
9.038355,9.845592,0.923288
9.071707,9.878693,0.919545
9.105058,9.914669,0.914509
9.138410,9.953145,0.907124
9.171762,9.988195,0.898885
9.205114,10.022848,0.890416
9.238466,10.059990,0.882867
9.271818,10.102787,0.877126
9.305170,10.149833,0.883073
9.338521,10.200237,0.894442
9.371873,10.251397,0.902821
9.405225,10.291823,0.914345
9.438577,10.326875,0.922523
9.471929,10.359937,0.922973
9.505281,10.392107,0.921406
9.538633,10.427782,0.923340
9.571984,10.464818,0.922066
9.605336,10.503896,0.918505
9.638688,10.535854,0.910916
9.672040,10.563587,0.901563
9.705392,10.593063,0.892922
9.738744,10.625562,0.883019
9.772096,10.663836,0.872202
9.805447,10.704274,0.868330
9.838799,10.745717,0.877545
9.872151,10.793250,0.890265
9.905503,10.848143,0.900707
9.938855,10.895784,0.907694
9.972207,10.930419,0.916065
10.005559,10.964883,0.923273
10.038911,10.996259,0.923961
10.072262,11.025543,0.924355
10.105614,11.057258,0.924354
10.138966,11.089342,0.922822
10.172318,11.121887,0.919149
10.205670,11.157711,0.913614
10.239022,11.197355,0.907323
10.272374,11.232516,0.898408
10.305725,11.267206,0.889343
10.339077,11.305437,0.882471
10.372429,11.347017,0.876900
10.405781,11.390996,0.878865
10.439133,11.442698,0.887914
10.472485,11.493018,0.899522
10.505837,11.532306,0.910623
10.539188,11.568846,0.916854
10.572540,11.603273,0.918905
10.605892,11.636490,0.917736
10.639244,11.672456,0.921002
10.672596,11.711385,0.923085
10.705948,11.751332,0.920760
10.739300,11.789077,0.913824
10.772651,11.820461,0.903906
10.806003,11.851316,0.895379
