joint_data_pelvis_tx,joint_data_pelvis_ty,joint_data_pelvis_tilt,joint_data_hip_flexion_r,joint_data_knee_r_translation1,joint_data_knee_r_translation2,joint_data_knee_angle_r,joint_data_ankle_angle_r,joint_data_mtp_angle_r,joint_data_hamstrings_r_semimem_r-P2_x,joint_data_hamstrings_r_semimem_r-P2_y,joint_data_rect_fem_r_rect_fem_r-P3_x,joint_data_rect_fem_r_rect_fem_r-P3_y,joint_data_vasti_r_vas_int_r-P4_x,joint_data_vasti_r_vas_int_r-P4_y,joint_data_gastroc_r_med_gas_r-P2_x,joint_data_gastroc_r_med_gas_r-P2_y,joint_data_gastroc_r_med_gas_r-P2_z,joint_data_hip_flexion_l,joint_data_knee_l_translation1,joint_data_knee_l_translation2,joint_data_knee_angle_l,joint_data_ankle_angle_l,joint_data_mtp_angle_l,joint_data_hamstrings_l_semimem_l-P2_x,joint_data_hamstrings_l_semimem_l-P2_y,joint_data_rect_fem_l_rect_fem_l-P3_x,joint_data_rect_fem_l_rect_fem_l-P3_y,joint_data_vasti_l_vas_int_l-P4_x,joint_data_vasti_l_vas_int_l-P4_y,joint_data_gastroc_l_med_gas_l-P2_x,joint_data_gastroc_l_med_gas_l-P2_y,joint_data_gastroc_l_med_gas_l-P2_z,joint_data_r_shoulder_abd,joint_data_r_shoulder_rot,joint_data_r_shoulder_flex,joint_data_r_elbow_flex,joint_data_r_wrist_rot,joint_data_r_wrist_flex,joint_data_r_wrist_dev,joint_data_l_shoulder_abd,joint_data_l_shoulder_rot,joint_data_l_shoulder_flex,joint_data_l_elbow_flex,joint_data_l_wrist_rot,joint_data_l_wrist_flex,joint_data_l_wrist_dev,joint_data_iliopsoas_r_psoas_r-P3_x,joint_data_iliopsoas_r_psoas_r-P3_y,joint_data_iliopsoas_r_psoas_r-P3_z,joint_data_iliopsoas_l_psoas_l-P3_x,joint_data_iliopsoas_l_psoas_l-P3_y,joint_data_iliopsoas_l_psoas_l-P3_z,sensor_data_r_foot,sensor_data_r_toes,sensor_data_l_foot,sensor_data_l_toes,sensor_data_r_knee_sensor,sensor_data_l_knee_sensor,sensor_data_r_hip_sensor,sensor_data_l_hip_sensor,sensor_data_r_ankle_sensor,sensor_data_l_ankle_sensor,sensor_data_r_mtp_sensor,sensor_data_l_mtp_sensor,time
[7.1352],[0.9041],[0.1298],[-0.3533],[0.0006],[-0.3966],[-0.5768],[-0.1454],[0.5948],[-0.0307],[-0.0412],[0.0298],[0.0458],[0.0164],[0.0622],[-0.0274],[-0.4028],[-0.024],[0.2067],[-0.0021],[-0.3938],[-0.2439],[-0.0688],[0.5502],[-0.0303],[-0.0375],[0.0431],[0.0438],[0.0383],[0.0534],[-0.0243],[-0.4014],[0.0238],[0.1197],[2.2963e-05],[-5.9448e-05],[9.0329e-05],[5.9365e-06],[-3.2313e-05],[1.7956e-05],[0.1091],[5.204e-05],[5.6818e-05],[9.1835e-05],[1.3604e-05],[-1.2648e-05],[1.7903e-05],[-0.0381],[-0.0727],[0.0792],[-0.032],[-0.0756],[-0.0799],[0.],[0.],[0.],[147.1228],[0.],[0.],[48.1406],[0.],[0.],[0.],[0.2657],[0.],6.60366870483602
[7.1837],[0.9127],[0.1688],[-0.3129],[0.0019],[-0.3987],[-0.7439],[-0.2778],[0.6237],[-0.0306],[-0.0432],[0.0248],[0.0438],[0.0066],[0.0614],[-0.0293],[-0.4029],[-0.024],[0.1123],[-0.0019],[-0.394],[-0.2642],[-0.0248],[0.2121],[-0.0305],[-0.0376],[0.0401],[0.0487],[0.0374],[0.0531],[-0.0245],[-0.4017],[0.0238],[0.1197],[2.0706e-05],[-2.1297e-05],[0.0001],[6.1872e-06],[-3.2515e-05],[1.9651e-05],[0.1091],[5.2904e-05],[1.864e-05],[0.0001],[1.4389e-05],[-1.2728e-05],[1.9589e-05],[-0.0378],[-0.0728],[0.0792],[-0.0348],[-0.075],[-0.0795],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.2157],[0.],6.637020566981656
[7.2183],[0.9218],[0.1718],[-0.1884],[0.0032],[-0.4012],[-0.9202],[-0.2747],[0.6357],[-0.0301],[-0.0451],[0.0226],[0.0396],[0.0009],[0.0564],[-0.0309],[-0.4025],[-0.0239],[0.0691],[-0.0018],[-0.3944],[-0.2686],[0.0032],[-0.0555],[-0.0309],[-0.0377],[0.0393],[0.0492],[0.0364],[0.0552],[-0.025],[-0.4016],[0.024],[0.1197],[1.9514e-05],[-7.4309e-07],[0.0001],[6.3287e-06],[-3.2651e-05],[2.0593e-05],[0.1091],[5.3414e-05],[-1.9428e-06],[0.0001],[1.4828e-05],[-1.2782e-05],[2.0526e-05],[-0.0368],[-0.0733],[0.0792],[-0.0342],[-0.0755],[-0.0797],[0.],[0.],[0.],[19.9521],[0.],[0.],[0.],[0.],[0.],[0.],[1.1842],[0.],6.670372429127293
[7.25],[0.928],[0.1679],[-0.0594],[0.0039],[-0.4025],[-1.026],[-0.201],[0.6453],[-0.0295],[-0.0461],[0.0149],[0.0408],[-0.012],[0.0577],[-0.0321],[-0.4014],[-0.0238],[-0.007],[-0.0023],[-0.3944],[-0.1889],[-0.0198],[0.0014],[-0.0303],[-0.0364],[0.0448],[0.0443],[0.0413],[0.0521],[-0.0249],[-0.4011],[0.0241],[0.1197],[1.9599e-05],[-1.4881e-06],[0.0001],[6.3372e-06],[-3.2717e-05],[2.0602e-05],[0.1091],[5.3519e-05],[-1.2093e-06],[0.0001],[1.4844e-05],[-1.2807e-05],[2.0535e-05],[-0.0357],[-0.0739],[0.0793],[-0.0352],[-0.0753],[-0.0796],[0.],[0.],[0.],[11.0167],[0.],[0.],[0.],[0.],[0.],[0.],[1.3321],[0.],6.70372429127293
[7.2801],[0.9261],[0.1593],[0.0592],[0.004],[-0.4022],[-1.0237],[-0.0921],[0.6512],[-0.0294],[-0.0462],[0.0094],[0.0429],[-0.0197],[0.063],[-0.0322],[-0.4009],[-0.0238],[-0.0639],[-0.0027],[-0.3941],[-0.1413],[0.0571],[0.0616],[-0.0298],[-0.0361],[0.05],[0.0372],[0.0444],[0.0492],[-0.0243],[-0.4009],[0.024],[0.1197],[1.9053e-05],[8.042e-06],[0.0001],[6.4042e-06],[-3.2785e-05],[2.1052e-05],[0.1091],[5.3746e-05],[-1.075e-05],[0.0001],[1.5051e-05],[-1.2834e-05],[2.0983e-05],[-0.0347],[-0.0742],[0.0793],[-0.0362],[-0.0748],[-0.0795],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.3021],[0.],6.737076153418566
[7.3086],[0.9255],[0.1482],[0.168],[0.0036],[-0.401],[-0.9387],[0.0268],[0.6538],[-0.0298],[-0.0455],[0.0089],[0.045],[-0.0143],[0.0653],[-0.0317],[-0.4012],[-0.0238],[-0.0908],[-0.0027],[-0.394],[-0.1343],[0.0845],[0.2026],[-0.03],[-0.0362],[0.0517],[0.034],[0.0445],[0.0498],[-0.0243],[-0.4008],[0.0241],[0.1197],[1.9436e-05],[3.3905e-06],[0.0001],[6.4148e-06],[-3.2999e-05],[2.0905e-05],[0.1091],[5.4177e-05],[-6.1547e-06],[0.0001],[1.5055e-05],[-1.2918e-05],[2.0838e-05],[-0.0334],[-0.0744],[0.0794],[-0.0362],[-0.0748],[-0.0795],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.4287],[0.],6.770428015564202
[7.3397],[0.9263],[0.1444],[0.2492],[0.0027],[-0.3992],[-0.7854],[0.1002],[0.6628],[-0.0305],[-0.0441],[0.013],[0.0475],[-0.0024],[0.0662],[-0.0306],[-0.402],[-0.0236],[-0.1605],[-0.0032],[-0.3939],[-0.0648],[0.0817],[0.3743],[-0.0299],[-0.0356],[0.055],[0.032],[0.0485],[0.0462],[-0.0239],[-0.4003],[0.0241],[0.1197],[1.9499e-05],[3.5018e-06],[0.0001],[6.4387e-06],[-3.3121e-05],[2.0977e-05],[0.1091],[5.4401e-05],[-6.2894e-06],[0.0001],[1.5112e-05],[-1.2966e-05],[2.091e-05],[-0.0323],[-0.0745],[0.0796],[-0.0371],[-0.0744],[-0.0794],[0.],[0.],[0.],[18.8856],[0.],[0.],[0.],[0.],[0.],[0.],[1.6397],[0.],6.803779877709839
[7.3709],[0.9239],[0.1395],[0.3179],[0.0013],[-0.3971],[-0.5944],[0.1222],[0.6787],[-0.0313],[-0.0419],[0.0214],[0.0489],[0.0125],[0.0647],[-0.0286],[-0.4028],[-0.0234],[-0.2267],[-0.0037],[-0.3937],[-0.0021],[0.0996],[0.4474],[-0.0296],[-0.0352],[0.0577],[0.031],[0.0519],[0.0429],[-0.0233],[-0.4],[0.024],[0.1197],[1.966e-05],[2.1242e-06],[0.0001],[6.4539e-06],[-3.3232e-05],[2.1008e-05],[0.1091],[5.455e-05],[-4.9267e-06],[0.0001],[1.514e-05],[-1.301e-05],[2.094e-05],[-0.0311],[-0.0745],[0.0797],[-0.0376],[-0.074],[-0.0793],[0.],[0.],[0.],[91.5298],[0.],[0.],[0.],[0.],[0.],[0.],[1.781],[0.],6.837131739855475
[7.4031],[0.9192],[0.1345],[0.3601],[-0.0005],[-0.3952],[-0.3668],[0.1246],[0.6929],[-0.0317],[-0.0391],[0.0333],[0.048],[0.0291],[0.0591],[-0.0258],[-0.403],[-0.0233],[-0.2699],[-0.0039],[-0.3937],[0.0139],[0.1351],[0.424],[-0.0297],[-0.0353],[0.0567],[0.0339],[0.0527],[0.0421],[-0.0229],[-0.3998],[0.024],[0.1197],[1.9912e-05],[-4.4344e-07],[0.0001],[6.4687e-06],[-3.3378e-05],[2.1001e-05],[0.1091],[5.4755e-05],[-2.3819e-06],[0.0001],[1.5161e-05],[-1.3067e-05],[2.0935e-05],[-0.0302],[-0.0746],[0.0798],[-0.0379],[-0.0736],[-0.0793],[0.],[0.],[0.],[102.7884],[0.],[23.4712],[0.],[0.],[0.],[0.],[1.8314],[0.],6.870483602001111
[7.4389],[0.9147],[0.1373],[0.3656],[-0.0024],[-0.3938],[-0.1364],[0.1328],[0.7009],[-0.0309],[-0.0361],[0.0464],[0.0443],[0.0441],[0.0499],[-0.0226],[-0.4021],[-0.0233],[-0.3164],[-0.0039],[-0.3938],[0.011],[0.177],[0.3957],[-0.0302],[-0.0354],[0.0541],[0.0394],[0.0525],[0.0426],[-0.0226],[-0.3998],[0.0239],[0.1197],[2.0478e-05],[-8.563e-06],[0.0001],[6.4457e-06],[-3.3503e-05],[2.0708e-05],[0.1091],[5.491e-05],[5.7096e-06],[0.0001],[1.5067e-05],[-1.3116e-05],[2.0644e-05],[-0.0299],[-0.0747],[0.0799],[-0.0381],[-0.0733],[-0.0793],[0.],[0.],[0.],[94.7245],[0.],[39.3846],[0.],[0.],[0.],[0.],[1.8711],[0.],6.903835464146748
